id,edad,genero,sentimiento_serguridad,satisfaccion,covid_positivo,covid_prueba,covid_sintomas,covid_conocido_sintomas,covid_contacto_sintomas,covid_prevencion,covid_tratar,covid_atencion_puesto_salud,covid_desempleo,covid_depresion,covid_conflictos,covid_internados,covid_muerte,covid_higiene,servicio_agua,servicio_desague,servicio_telefono,servicio_internet,servicio_electricidad,cal_servicio_agua,cal_servicio_telefono,cal_servicio_internet,cal_servicio_electricidad,cal_servicio_basura,cal_servicio_seguridad,cal_servicio_mant_parq,cal_servicio_desague,muni_recojo_basura,muni_man_parques,tiempo_comercial,tiempo_cultural,tiempo_escuela,tiempo_universidad,tiempo_salud,tiempo_aux_rap,tiempo_via_principal,tiempo_iglesia,vivienda_m2,vivienda_m2_precio,vivienda_vivir_anios,vivienda_cuartos,vivienda_pisos,vivienda_banos,valoracion_vivienda,gasto_alimentos,gasto_vestido,gasto_edu,gasto_salud,gasto_transpor,gasto_diversion,alr_calles_pavimentadas,alr_zonas_verdes,alr_parques_recreativas,alr_auxilio_rap,jefe_ocu,distrito,zona,hogar_ingresos_cuantos,ingreso_familiar,f_menor18,f_hombre,f_mujer,idiomas,lugar_n
718,63,0,0,5,0,1,1,1,1,300,100,0,0,1,1,1,0,3,1,1,0,0,1,1,1,1,3,4,3,5,2,1,1,0,0,0,45,45,0,0,0,200,400,5,2,0,0,20000,300,100,0,200,100,0,1,1,1,1,3,3, Tres esquinas,1,700,0,2,1,1,Huancayo
718,63,0,0,5,0,1,1,1,1,300,100,0,0,1,1,1,0,3,1,1,0,0,1,1,1,1,3,4,3,5,2,1,1,0,0,0,0,0,0,15.5,0,200,400,5,2,0,0,20000,300,100,0,200,100,0,1,1,1,1,3,3, Tres esquinas,1,700,0,2,1,1,Huancayo
719,42,0,1,8,0,1,0,1,0,500,1000,1,0,0,0,0,0,5,1,1,1,1,1,5,4,4,5,4,4,4,5,1,1,5.5,0,5.5,0,0,5.5,0,5.5,100,400,5,1,2,3,40000,3000,500,700,300,300,200,1,1,1,1,4,1, San carlos,4,7000,1,2,3,1,Lima
719,42,0,1,8,0,1,0,1,0,500,1000,1,0,0,0,0,0,5,1,1,1,1,1,5,4,4,5,4,4,4,5,1,1,0,15.5,0,15.5,15.5,0,15.5,0,100,400,5,1,2,3,40000,3000,500,700,300,300,200,1,1,1,1,4,1, San carlos,4,7000,1,2,3,1,Lima
720,26,0,1,8,0,1,0,1,0,1000,0,0,1,1,0,0,0,5,1,1,0,1,1,4,4,3,4,3,3,3,4,1,1,25.5,0,0,0,0,25.5,0,0,200,250,5,5,3,2,6000000,2000,0,1000,10000,0,0,1,1,1,0,2,3, La esperanza,0,4000,3,1,0,1,Junin
720,26,0,1,8,0,1,0,1,0,1000,0,0,1,1,0,0,0,5,1,1,0,1,1,4,4,3,4,3,3,3,4,1,1,0,45,0,0,0,0,0,0,200,250,5,5,3,2,6000000,2000,0,1000,10000,0,0,1,1,1,0,2,3, La esperanza,0,4000,3,1,0,1,Junin
720,26,0,1,8,0,1,0,1,0,1000,0,0,1,1,0,0,0,5,1,1,0,1,1,4,4,3,4,3,3,3,4,1,1,0,0,15.5,0,15.5,0,0,15.5,200,250,5,5,3,2,6000000,2000,0,1000,10000,0,0,1,1,1,0,2,3, La esperanza,0,4000,3,1,0,1,Junin
720,26,0,1,8,0,1,0,1,0,1000,0,0,1,1,0,0,0,5,1,1,0,1,1,4,4,3,4,3,3,3,4,1,1,0,0,0,5.5,0,0,5.5,0,200,250,5,5,3,2,6000000,2000,0,1000,10000,0,0,1,1,1,0,2,3, La esperanza,0,4000,3,1,0,1,Junin
721,25,0,0,4,0,1,1,1,1,50,250,0,1,1,1,0,0,5,1,1,0,0,1,4,3,2,4,4,2,1,4,1,0,45,45,45,0,0,45,0,45,150,600,2,1,3,3,90000,300,300,100,50,120,0,0,0,1,0,2,2, Auray,2,1700,0,0,2,1,Junin
721,25,0,0,4,0,1,1,1,1,50,250,0,1,1,1,0,0,5,1,1,0,0,1,4,3,2,4,4,2,1,4,1,0,0,0,0,90,0,0,0,0,150,600,2,1,3,3,90000,300,300,100,50,120,0,0,0,1,0,2,2, Auray,2,1700,0,0,2,1,Junin
